Gene	Matched_Count	Total_Count	Mismatches
LARS	0	327	RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,LARS1,LARS1,LARS1,RPL35AP16,RPL35AP17,LARS1,RPL35AP16,RPL35AP17,LARS1,LARS1,LARS1,LARS1,LARS1,LARS1,LARS1
SLC5A6	87	130	ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID,ATRAID
CD93	34	48	LOC124904964,LOC124904964,LOC124904964,LOC124904964,LOC124904964,LOC124904964,LOC124904964,LOC124904964,LOC124904964,LOC124904964,LOC124904964,LOC124904964,LOC124904964,LOC124904964
TMEM147	35	70	TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1,TMEM147-AS1
THAP2	36	38	TMEM19,TMEM19
CYTIP	59	59	None
LDHB	85	115	LOC124902896,GYS2,LOC124902896,GYS2,LOC124902896,GYS2,LOC124902896,GYS2,LOC124902896,GYS2,LOC124902896,GYS2,LOC124902896,GYS2,LOC124902896,GYS2,LOC124902896,GYS2,LOC124902896,GYS2,LOC124902896,GYS2,GYS2,CHS.11187,CHS.11187,CHS.11187,CHS.11187,CHS.11187,CHS.11187,LDHBP2
DMKN	42	42	None
ADGRE5	60	64	ZNF333,ADGRE2,ADGRE2,ADGRE2
LPL	40	45	LOC107986921,LOC107986921,LOC107986921,LOC107986921,LOC107986921
KIT	100	100	None
DPT	49	328	SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970,SUMO1P2,RPL29P7,RNA5SP66,LOC124904452,LINC00626,LOC105371606,CHS.131761,CHS.165540,LINC00970
DAPK3	8	14	MIR637,MIR637,MIR637,MIR637,MIR637,MIR637
JUP	38	38	None
CCL5	11	22	LOC105371745,LOC105371745,LOC105371745,LOC105371745,LOC105371745,LOC105371745,LOC105371745,LOC105371745,LOC105371745,LOC105371745,LOC105371745
CLEC9A	29	55	LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202,LOC100421202
CD79A	6	6	None
C15orf48	17	40	MIR147B,LOC107987223,RNU7-5P,LOC105376714,MIR147B,LOC107987223,RNU7-5P,LOC105376714,MIR147B,MIR147B,MIR147B,MIR147B,MIR147B,MIR147B,MIR147B,MIR147B,MIR147B,MIR147B,MIR147B,MIR147B,MIR147B,LOC107987223,MIR147B
KRT7	11	21	KRT7-AS,METTL7AP1,KRT7-AS,METTL7AP1,KRT7-AS,METTL7AP1,KRT7-AS,METTL7AP1,KRT7-AS,METTL7AP1
KLRF1	81	81	None
LRRC15	36	36	None
CD80	45	108	TIMMDC1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,TIMMDC1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1,CSRP2P1
PDE4A	61	61	None
NCAM1	117	333	LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,NCAM1-AS1,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,LOC101928847,RNU7-187P,NCAM1-AS1,NCAM1-AS1,NCAM1-AS1,NCAM1-AS1,NCAM1-AS1,NCAM1-AS1,NCAM1-AS1,NCAM1-AS1,NCAM1-AS1,NCAM1-AS1,NCAM1-AS1,NCAM1-AS1,NCAM1-AS1,NCAM1-AS1,NCAM1-AS1
ENAH	100	132	LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526,LOC124904526
FCGR3A	97	110	HSPA7,TRL-CAA6-1,RPS23P9,FCGR2C,FCGR3B,HSPA7,TRL-CAA6-1,RPS23P9,FCGR2C,FCGR3B,FCGR3B,FCGR3B,FCGR3B
FCER1A	34	34	None
TPD52	101	325	LOC105375919,LOC124901966,MRPS28,TPD52-MRPS28,LOC105375919,LOC124901966,MRPS28,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,TPD52-MRPS28,TPD52-MRPS28,TPD52-MRPS28,TPD52-MRPS28,TPD52-MRPS28,TPD52-MRPS28,TPD52-MRPS28,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,TPD52-MRPS28,TPD52-MRPS28,TPD52-MRPS28,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28,LOC105375919,CHS.53772,TPD52-MRPS28
CDH1	112	290	RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,RNA5SP429,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14,FTLP14
MAP3K8	83	83	None
SFRP1	40	160	MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P,MIR548AO,RPS29P2,RNU6-895P
PTN	28	112	LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099,LOC124900235,LOC105375527,CHS.166099
IL7R	73	73	None
CD8A	70	70	None
FBLN1	61	63	LOC105373066,LOC105373066
CRISPLD2	67	129	CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514,CHS.20514
